Date, Price 
27-May-21,799
28-May-21,873
31-May-21,873
01-Jun-21,942
02-Jun-21,1014
03-Jun-21,1014
04-Jun-21,1014
07-Jun-21,1249
08-Jun-21,1266
09-Jun-21,1266
10-Jun-21,1208
11-Jun-21,1208
14-Jun-21,1208
15-Jun-21,1134
16-Jun-21,1134
17-Jun-21,1028
18-Jun-21,1028
21-Jun-21,1028
22-Jun-21,1028
23-Jun-21,1028
24-Jun-21,933
25-Jun-21,933
28-Jun-21,933
29-Jun-21,947
30-Jun-21,965
01-Jul-21,965
02-Jul-21,965
05-Jul-21,965
06-Jul-21,965
07-Jul-21,965
08-Jul-21,1013
09-Jul-21,1023
12-Jul-21,1023
13-Jul-21,1081
14-Jul-21,1081
15-Jul-21,1076
16-Jul-21,1076
19-Jul-21,1076
20-Jul-21,1076
21-Jul-21,1076
22-Jul-21,1112
23-Jul-21,1162
26-Jul-21,1162
27-Jul-21,1162
28-Jul-21,1132
29-Jul-21,1132
30-Jul-21,1132
02-Aug-21,1132
03-Aug-21,1132
04-Aug-21,1132
05-Aug-21,1128
06-Aug-21,1128
09-Aug-21,993
10-Aug-21,993
11-Aug-21,993
12-Aug-21,993
13-Aug-21,967
16-Aug-21,967
17-Aug-21,967
18-Aug-21,911
19-Aug-21,911
20-Aug-21,911
23-Aug-21,911
24-Aug-21,911
25-Aug-21,911
26-Aug-21,911
27-Aug-21,927
30-Aug-21,927
31-Aug-21,927
01-Sep-21,927
02-Sep-21,907
03-Sep-21,907
06-Sep-21,907
07-Sep-21,907
08-Sep-21,907
09-Sep-21,907
10-Sep-21,907
13-Sep-21,907
14-Sep-21,927
15-Sep-21,927
16-Sep-21,927
17-Sep-21,927
20-Sep-21,896
21-Sep-21,896
22-Sep-21,896
23-Sep-21,907
24-Sep-21,907
27-Sep-21,907
28-Sep-21,907
29-Sep-21,907
30-Sep-21,907
01-Oct-21,907
04-Oct-21,907
05-Oct-21,1043
06-Oct-21,1043
07-Oct-21,1043
08-Oct-21,1064
11-Oct-21,1064
12-Oct-21,1064
13-Oct-21,1064
14-Oct-21,1064
15-Oct-21,1064
18-Oct-21,1064
19-Oct-21,1064
20-Oct-21,1064
21-Oct-21,1064
22-Oct-21,1064
25-Oct-21,1064
26-Oct-21,1064
27-Oct-21,1064
28-Oct-21,1064
29-Oct-21,1083
01-Nov-21,1083
02-Nov-21,1083
03-Nov-21,1083
04-Nov-21,1083
05-Nov-21,1158
08-Nov-21,1071
09-Nov-21,1114
10-Nov-21,850
11-Nov-21,869
12-Nov-21,800
15-Nov-21,865
16-Nov-21,865
17-Nov-21,865
18-Nov-21,865
19-Nov-21,865
22-Nov-21,865
23-Nov-21,865
24-Nov-21,865
25-Nov-21,835
26-Nov-21,835
29-Nov-21,835
30-Nov-21,865
01-Dec-21,909
02-Dec-21,915
03-Dec-21,909
06-Dec-21,887
07-Dec-21,887
08-Dec-21,887
09-Dec-21,887
10-Dec-21,887
13-Dec-21,887
14-Dec-21,887
15-Dec-21,887
16-Dec-21,887
17-Dec-21,902
20-Dec-21,876
21-Dec-21,876
22-Dec-21,876
23-Dec-21,876
24-Dec-21,873
27-Dec-21,875
28-Dec-21,875
29-Dec-21,875
30-Dec-21,875
31-Dec-21,875
03-Jan-22,908
04-Jan-22,1044
05-Jan-22,1049
06-Jan-22,1091
07-Jan-22,1056
10-Jan-22,1056
11-Jan-22,1061
12-Jan-22,1101
13-Jan-22,1101
14-Jan-22,1101
17-Jan-22,1105
18-Jan-22,1105
19-Jan-22,1105
20-Jan-22,1105
21-Jan-22,1101
24-Jan-22,1101
25-Jan-22,1086
26-Jan-22,1086
27-Jan-22,1086
28-Jan-22,1086
31-Jan-22,1086
01-Feb-22,1086
02-Feb-22,1086
03-Feb-22,1086
04-Feb-22,1086
07-Feb-22,1086
08-Feb-22,1086
09-Feb-22,958
10-Feb-22,958
11-Feb-22,958
14-Feb-22,958
15-Feb-22,997
16-Feb-22,997
17-Feb-22,936
18-Feb-22,936
21-Feb-22,919
22-Feb-22,919
23-Feb-22,919
24-Feb-22,919
25-Feb-22,891
28-Feb-22,963
01-Mar-22,963
02-Mar-22,996
03-Mar-22,996
04-Mar-22,996
07-Mar-22,996
08-Mar-22,1052
09-Mar-22,1017
10-Mar-22,1017
11-Mar-22,1017
14-Mar-22,1017
15-Mar-22,1057
16-Mar-22,1057
17-Mar-22,1017
18-Mar-22,1004
21-Mar-22,1004
22-Mar-22,1004
23-Mar-22,1004
24-Mar-22,1004
