Date, Price 
12-Apr-21,3254
13-Apr-21,3254
14-Apr-21,3357
15-Apr-21,3357
16-Apr-21,3305
19-Apr-21,3305
20-Apr-21,3428
21-Apr-21,3428
22-Apr-21,3428
23-Apr-21,3428
26-Apr-21,3428
27-Apr-21,3428
28-Apr-21,3428
29-Apr-21,3428
30-Apr-21,3430
03-May-21,3532
04-May-21,3532
05-May-21,3501
06-May-21,3665
07-May-21,3747
10-May-21,4299
11-May-21,4299
12-May-21,4299
13-May-21,4299
14-May-21,4299
17-May-21,4257
18-May-21,4275
19-May-21,4274
20-May-21,4274
21-May-21,4274
24-May-21,4341
25-May-21,4341
26-May-21,4046
27-May-21,4046
28-May-21,4046
31-May-21,4046
01-Jun-21,4366
02-Jun-21,4366
03-Jun-21,4366
04-Jun-21,4536
07-Jun-21,4979
08-Jun-21,5051
09-Jun-21,5051
10-Jun-21,5193
11-Jun-21,5193
14-Jun-21,5193
15-Jun-21,5193
16-Jun-21,5193
17-Jun-21,5193
18-Jun-21,5193
21-Jun-21,5193
22-Jun-21,5193
23-Jun-21,5193
24-Jun-21,5232
25-Jun-21,5668
28-Jun-21,5668
29-Jun-21,5668
30-Jun-21,5668
01-Jul-21,5868
02-Jul-21,5868
05-Jul-21,5989
06-Jul-21,5989
07-Jul-21,5989
08-Jul-21,5838
09-Jul-21,5838
12-Jul-21,5838
13-Jul-21,5838
14-Jul-21,5993
15-Jul-21,6024
16-Jul-21,6024
19-Jul-21,6013
20-Jul-21,6013
21-Jul-21,6013
22-Jul-21,6013
23-Jul-21,6013
26-Jul-21,6013
27-Jul-21,6013
28-Jul-21,6013
29-Jul-21,6015
30-Jul-21,6015
02-Aug-21,5971
03-Aug-21,5971
04-Aug-21,5971
05-Aug-21,6031
06-Aug-21,6031
09-Aug-21,6464
10-Aug-21,6801
11-Aug-21,6658
12-Aug-21,6658
13-Aug-21,5929
16-Aug-21,5929
17-Aug-21,5929
18-Aug-21,5929
19-Aug-21,5929
20-Aug-21,5929
23-Aug-21,5929
24-Aug-21,5929
25-Aug-21,5929
26-Aug-21,5929
27-Aug-21,5929
30-Aug-21,5929
31-Aug-21,5929
01-Sep-21,5847
02-Sep-21,5847
03-Sep-21,6415
06-Sep-21,6415
07-Sep-21,6549
08-Sep-21,6984
09-Sep-21,6984
10-Sep-21,6869
13-Sep-21,6869
14-Sep-21,6860
15-Sep-21,6860
16-Sep-21,6869
17-Sep-21,6869
20-Sep-21,6869
21-Sep-21,6869
22-Sep-21,6869
23-Sep-21,6869
24-Sep-21,6869
27-Sep-21,6986
28-Sep-21,6986
29-Sep-21,6986
30-Sep-21,6986
01-Oct-21,6986
04-Oct-21,6986
05-Oct-21,7126
06-Oct-21,7126
07-Oct-21,7126
08-Oct-21,7219
11-Oct-21,7219
12-Oct-21,7219
13-Oct-21,7219
14-Oct-21,7219
15-Oct-21,7178
18-Oct-21,7178
19-Oct-21,7178
20-Oct-21,7178
21-Oct-21,7178
22-Oct-21,7178
25-Oct-21,7178
26-Oct-21,7238
27-Oct-21,7238
28-Oct-21,7238
29-Oct-21,7238
01-Nov-21,7305
02-Nov-21,7305
03-Nov-21,7305
04-Nov-21,7305
05-Nov-21,7305
08-Nov-21,7413
09-Nov-21,7739
10-Nov-21,7678
11-Nov-21,7697
12-Nov-21,7447
15-Nov-21,7447
16-Nov-21,7447
17-Nov-21,7438
18-Nov-21,7438
19-Nov-21,7447
22-Nov-21,7451
23-Nov-21,7451
24-Nov-21,7451
25-Nov-21,7451
26-Nov-21,7451
29-Nov-21,7451
30-Nov-21,7451
01-Dec-21,7447
02-Dec-21,7447
03-Dec-21,7318
06-Dec-21,7451
07-Dec-21,7045
08-Dec-21,7254
09-Dec-21,7173
10-Dec-21,7173
13-Dec-21,7258
14-Dec-21,7248
15-Dec-21,7248
16-Dec-21,7248
17-Dec-21,7248
20-Dec-21,7036
21-Dec-21,7039
22-Dec-21,7039
23-Dec-21,7039
24-Dec-21,7039
27-Dec-21,6985
28-Dec-21,6928
29-Dec-21,6928
30-Dec-21,7100
31-Dec-21,7100
03-Jan-22,6230
04-Jan-22,6230
05-Jan-22,6230
06-Jan-22,6230
07-Jan-22,6066
10-Jan-22,6469
11-Jan-22,6469
12-Jan-22,6469
13-Jan-22,6464
14-Jan-22,6771
17-Jan-22,6771
18-Jan-22,6771
19-Jan-22,6811
20-Jan-22,7436
21-Jan-22,7436
24-Jan-22,7407
25-Jan-22,7407
26-Jan-22,7407
27-Jan-22,7232
28-Jan-22,7232
31-Jan-22,7232
01-Feb-22,6448
02-Feb-22,6448
03-Feb-22,6448
04-Feb-22,6964
